FL_DATE,AIRLINE,AIRLINE_DOT,AIRLINE_CODE,DOT_CODE,FL_NUMBER,ORIGIN,ORIGIN_CITY,DEST,DEST_CITY,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,TAXI_OUT,WHEELS_OFF,WHEELS_ON,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,CANCELLED,CANCELLATION_CODE,DIVERTED,CRS_ELAPSED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,DELAY_DUE_CARRIER,DELAY_DUE_WEATHER,DELAY_DUE_NAS,DELAY_DUE_SECURITY,DELAY_DUE_LATE_AIRCRAFT,Month,Year,Cancelled,alti,drct,dwpf,feel,gust,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,inx_danjerous_1,inx_danjerous_2,inx_danjerous_3,inx_danjerous_4,metar,mslp,p01i,peak_wind_drct,peak_wind_gust,peak_wind_time,relh,sknt,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,snowdepth,station,tmpf,valid,vsby,wxcodes
2019-11-26,Delta Air Lines Inc.,Delta Air Lines Inc.: DL,DL,19790.0,347.0,JFK,"New York, NY",DFW,"Dallas/Fort Worth, TX",0 days 18:20:00,1819.0,-1.0,29.0,1848.0,2136.0,13.0,2136.0,2149.0,13.0,0.0,,0.0,256.0,270.0,228.0,1391.0,,,,,,11.0,2019.0,False,30.04,200.00,48.00,44.16,M,M,M,M,0.08,0.0,0.0,0.0,KJFK 262251Z 20010KT 10SM SCT250 09/09 A3004 RMK AO2 SLP172 T00940089 $,1017.20,0.00,M,M,M,96.69,10.00,SCT,M,M,M,25000.00,M,M,M,M,JFK,49.00,2019-11-26 22:51:00,10.00,M
2019-12-15,Delta Air Lines Inc.,Delta Air Lines Inc.: DL,DL,19790.0,430.0,JFK,"New York, NY",SFO,"San Francisco, CA",0 days 11:25:00,1213.0,48.0,15.0,1228.0,1553.0,6.0,1517.0,1559.0,42.0,0.0,,0.0,412.0,406.0,385.0,2586.0,42.0,0.0,0.0,0.0,0.0,12.0,2019.0,False,29.79,250.00,35.00,41.39,29.00,M,M,M,0.2272727272727272,0.4285714285714285,0.2,0.12,KJFK 151551Z 25021G29KT 10SM FEW044 BKN070 BKN150 BKN250 09/02 A2979 RMK AO2 PK WND 26029/1549 SLP087 T00940017 $,1008.70,0.00,260.00,29.00,2019-12-15 15:49,58.75,21.00,FEW,BKN,BKN,BKN,4400.00,7000.00,15000.00,25000.00,M,JFK,49.00,2019-12-15 15:51:00,10.00,M
2020-08-07,American Airlines Inc.,American Airlines Inc.: AA,AA,19805.0,76.0,JFK,"New York, NY",SFO,"San Francisco, CA",0 days 07:07:00,652.0,-15.0,17.0,709.0,942.0,6.0,1025.0,948.0,-37.0,0.0,,0.0,378.0,356.0,333.0,2586.0,,,,,,8.0,2020.0,False,30.13,360.00,65.00,70.00,M,M,M,M,0.4347826086956522,0.4615384615384615,0.3157894736842105,0.1875,KJFK 071051Z 36007KT 9SM FEW023 BKN065 BKN095 BKN160 21/18 A3013 RMK AO2 RAE34 SLP203 P0009 T02110183 $,1020.30,0.09,M,M,M,83.86,7.00,FEW,BKN,BKN,BKN,2300.00,6500.00,9500.00,16000.00,M,JFK,70.00,2020-08-07 10:51:00,9.00,M
2020-07-05,Delta Air Lines Inc.,Delta Air Lines Inc.: DL,DL,19790.0,1092.0,JFK,"New York, NY",FLL,"Fort Lauderdale, FL",0 days 07:15:00,715.0,0.0,14.0,729.0,946.0,6.0,1011.0,952.0,-19.0,0.0,,0.0,176.0,157.0,137.0,1069.0,,,,,,7.0,2020.0,False,29.97,230.00,68.00,73.00,M,M,M,M,1.1538461538461535,0.12,0.0,0.0,KJFK 051051Z 23008KT 10SM BKN026 BKN250 23/20 A2997 RMK AO2 SLP148 T02280200 $,1014.80,0.00,M,M,M,84.34,8.00,BKN,BKN,M,M,2600.00,25000.00,M,M,M,JFK,73.00,2020-07-05 10:51:00,10.00,M
2019-12-04,Delta Air Lines Inc.,Delta Air Lines Inc.: DL,DL,19790.0,1085.0,JFK,"New York, NY",LAX,"Los Angeles, CA",0 days 09:45:00,945.0,0.0,17.0,1002.0,1258.0,9.0,1310.0,1307.0,-3.0,0.0,,0.0,385.0,382.0,356.0,2475.0,,,,,,12.0,2019.0,False,29.61,280.00,30.00,27.97,M,M,M,M,0.3571428571428571,0.6382978723404255,0.4,0.0,KJFK 041351Z 28013KT 10SM FEW028 BKN047 OVC100 03/M01 A2961 RMK AO2 SLP025 VCSH SW T00281011 $,1002.50,0.00,M,M,M,75.56,13.00,FEW,BKN,OVC,M,2800.00,4700.00,10000.00,M,M,JFK,37.00,2019-12-04 13:51:00,10.00,M
2020-07-03,Delta Air Lines Inc.,Delta Air Lines Inc.: DL,DL,19790.0,8799.0,JFK,"New York, NY",ATL,"Atlanta, GA",0 days 19:59:00,1953.0,-6.0,18.0,2011.0,2154.0,7.0,2220.0,2201.0,-19.0,0.0,,0.0,141.0,128.0,103.0,760.0,,,,,,7.0,2020.0,False,29.87,90.00,70.00,73.00,M,M,M,M,2.2222222222222223,0.4444444444444444,0.4615384615384615,0.2307692307692307,KJFK 032351Z 09010KT 7SM -RA SCT009 SCT045 BKN065 BKN130 23/21 A2987 RMK AO2 LTG DSNT W-NE RAB41 SLP114 CB DSNT S P0002 60040 T02280211 10317 20228 53022 $,1011.40,0.02,M,M,M,90.32,10.00,SCT,SCT,BKN,BKN,900.00,4500.00,6500.00,13000.00,M,JFK,73.00,2020-07-03 23:51:00,7.00,-RA
2019-11-08,JetBlue Airways,JetBlue Airways: B6,B6,20409.0,34.0,JFK,"New York, NY",BTV,"Burlington, VT",0 days 12:10:00,1416.0,126.0,19.0,1435.0,1523.0,3.0,1322.0,1526.0,124.0,0.0,,0.0,72.0,70.0,48.0,266.0,124.0,0.0,0.0,0.0,0.0,11.0,2019.0,False,30.15,300.00,18.00,29.88,29.00,M,M,M,0.4,0.0,0.0,0.0,KJFK 081651Z 30019G29KT 10SM SCT050 04/M08 A3015 RMK AO2 PK WND 31032/1609 SLP208 T00441078,1020.80,0.00,310.00,32.00,2019-11-08 16:09,40.82,19.00,SCT,M,M,M,5000.00,M,M,M,M,JFK,40.00,2019-11-08 16:51:00,10.00,M
2019-12-23,American Airlines Inc.,American Airlines Inc.: AA,AA,19805.0,1757.0,JFK,"New York, NY",BOS,"Boston, MA",0 days 07:29:00,725.0,-4.0,21.0,746.0,830.0,7.0,849.0,837.0,-12.0,0.0,,0.0,80.0,72.0,44.0,187.0,,,,,,12.0,2019.0,False,30.17,260.00,32.00,29.65,M,M,M,M,0.08,0.0,0.0,0.0,KJFK 231151Z 26007KT 10SM SCT250 02/00 A3017 RMK AO2 SLP217 T00220000 10033 20006 53003,1021.70,0.00,M,M,M,85.23,7.00,SCT,M,M,M,25000.00,M,M,M,M,JFK,36.00,2019-12-23 11:51:00,10.00,M
2020-03-09,Endeavor Air Inc.,Endeavor Air Inc.: 9E,9E,20363.0,4824.0,JFK,"New York, NY",ROC,"Rochester, NY",0 days 17:39:00,1737.0,-2.0,18.0,1755.0,1846.0,5.0,1914.0,1851.0,-23.0,0.0,,0.0,95.0,74.0,51.0,264.0,,,,,,3.0,2020.0,False,30.25,180.00,41.00,57.90,M,M,M,M,0.04,0.0,0.0,0.0,KJFK 092051Z 18011KT 10SM FEW250 14/05 A3025 RMK AO2 SLP244 T01440050 56018,1024.40,0.00,M,M,M,53.24,11.00,FEW,M,M,M,25000.00,M,M,M,M,JFK,58.00,2020-03-09 20:51:00,10.00,M
2019-12-03,Endeavor Air Inc.,Endeavor Air Inc.: 9E,9E,20363.0,5100.0,JFK,"New York, NY",JAX,"Jacksonville, FL",0 days 19:55:00,1949.0,-6.0,23.0,2012.0,2215.0,3.0,2259.0,2218.0,-41.0,0.0,,0.0,184.0,149.0,123.0,828.0,,,,,,12.0,2019.0,False,29.6,310.00,21.00,23.37,20.00,M,M,M,0.08,0.0,0.0,0.0,KJFK 040051Z 31015G20KT 10SM SCT250 01/M06 A2960 RMK AO2 SLP022 T00111061 $,1002.20,0.00,M,M,M,58.56,15.00,SCT,M,M,M,25000.00,M,M,M,M,JFK,34.00,2019-12-04 00:51:00,10.00,M
